person_id,runtime_cohort,leg_mode,planned_origin_type,planned_destination_type,planned_departure_time,route_distance,realized_departure_time,elapsed_to_48h_seconds,last_event_before_stuck,last_event_time,last_link_id,last_car_movement,last_car_movement_time,last_car_movement_link,pt_reached_stop,pt_boarded,pt_left_vehicle,pt_on_vehicle_at_cutoff,waiting_stop,destination_stop,transit_vehicle,transit_line,transit_route,already_stuck_at_43h,root_cause
"6466720",unresolved_background,car,"other","other",58682.000,16284.595,58682.000,114118.000,entered link,124373.000,"419626",entered link,124373.000,"419626",false,false,false,false,"","","","","",true,CAR_NO_PROGRESS_OR_NETWORK_CLUSTER
"6468994",regional_background,pt,"other","home",53637.000,13651.476,71589.000,101211.000,waitingForPt,71589.000,"136969",<none>,,"",true,false,false,false,"136969","157402.2","","","",true,PT_NEVER_BOARDED
"6470896",regional_background,pt,"other","home",11310.000,2387.529,111384.000,61416.000,waitingForPt,111384.000,"182618",<none>,,"",true,false,false,false,"182618","101954.1","","","",true,PT_NEVER_BOARDED
"6474324",regional_background,pt,"shopping","home",66660.000,2153.805,70163.000,102637.000,waitingForPt,70163.000,"10895.1",<none>,,"",true,true,true,false,"10895.1","11167.2","tr_32284","XXX---2268763_3","XXX---2268763_3_0",true,PT_BOARDED_NOT_ARRIVED
"6478485",regional_background,pt,"other","home",17618.000,12074.922,83717.000,89083.000,waitingForPt,83717.000,"101743.1",<none>,,"",true,false,false,false,"101743.1","136331","","","",true,PT_NEVER_BOARDED
"6479779",regional_background,pt,"other","home",47460.000,24243.401,69107.000,103693.000,waitingForPt,69107.000,"102391.1",<none>,,"",true,true,true,false,"102391.1","102357.2","tr_17093","XXX---2255042_3","XXX---2255042_3_2",true,PT_BOARDED_NOT_ARRIVED
"6482016",regional_background,pt,"other","home",60060.000,11314.424,63611.000,109189.000,waitingForPt,63611.000,"143652",<none>,,"",true,true,true,false,"143652","139254.2","tr_795","XXX---162007_2_1158069900","XXX---162007_2_1158069900_5",true,PT_BOARDED_NOT_ARRIVED
"648945",regional_background,pt,"work","home",24971.000,3258.862,96593.000,76207.000,waitingForPt,96593.000,"164785",<none>,,"",true,false,false,false,"164785","102176.4","","","",true,PT_NEVER_BOARDED
"6494079",regional_background,pt,"other","home",39060.000,20824.776,74935.000,97865.000,waitingForPt,74935.000,"101754",<none>,,"",true,true,true,false,"101754","137231.2","tr_730","XXX---162007_2_1158069508","XXX---162007_2_1158069508_11",true,PT_BOARDED_NOT_ARRIVED
"6503863",regional_background,pt,"other","home",64440.000,10805.125,70332.000,102468.000,waitingForPt,70332.000,"149427",<none>,,"",true,true,true,false,"149427","136383","tr_3445","XXX---162461_109","XXX---162461_109_22",true,PT_BOARDED_NOT_ARRIVED
